time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux,ri_flux,change_during_glaciations
100915200000000.0,2.4744139979304366e-08,0.0002230080600128798,3.0246791497399223e-15,0.006862253175158997,604635284332.5413,488185531637722.25,290.0,1027555555555.5554,33000000000.0,False
104068800000000.02,2.477522967375935e-08,0.00022289041683592125,3.0293045913621227e-15,0.006862253281466753,605854177854.5146,488151625994033.56,290.0,1028444444444.4443,33000000000.0,False
107222400000000.02,2.480633841056794e-08,0.00022277247434511228,3.033938243221046e-15,0.00686225338771523,607075362196.3499,488117724787522.4,290.0,1029333333333.3333,33000000000.0,False
110376000000000.0,2.4837487816106327e-08,0.00022264907945464772,3.038658991039232e-15,0.006862253496298017,608314237272.5095,488083546305492.5,290.0,1030222222222.222,33000000000.0,False
113529600000000.0,2.4868655573798702e-08,0.00022252569241514253,3.0433837461449124e-15,0.006862253604684938,609554599806.6879,488049366239480.25,290.0,1031111111111.111,33000000000.0,False
116683200000000.0,2.4899844715138857e-08,0.0002224017803624827,3.0481206319816543e-15,0.0068622537131219526,610798037691.8182,488015138638557.94,290.0,1031999999999.9999,33000000000.0,False
119836800000000.02,2.4931042352793316e-08,0.0002222805067597798,3.052821066775048e-15,0.006862253820147178,612035056052.8793,487981020773319.3,290.0,1032888888888.8888,33000000000.0,False
122990400000000.02,2.4962279273433738e-08,0.00022215412686540735,3.057604157161673e-15,0.006862253929340094,613288922653.9193,487946650657788.8,290.0,1033777777777.7776,33000000000.0,False
126144000000000.0,2.4993491609289796e-08,0.00022203799730329178,3.0622319053300946e-15,0.0068622540335335986,614513126847.0222,487912914558493.0,290.0,1034666666666.6665,33000000000.0,False
129297600000000.02,2.5024783679988e-08,0.00022190793001909104,3.0670814755642275e-15,0.006862254144109808,615781394946.3142,487878202267214.56,290.0,1035555555555.5554,33000000000.0,False
132451200000000.0,2.505608084292152e-08,0.00022178086644356293,3.0718877841082826e-15,0.006862254253040084,617041907731.3708,487843756583321.44,290.0,1036444444444.4443,33000000000.0,False
135604800000000.0,2.5087397641674553e-08,0.0002216536944776639,3.0767000203070236e-15,0.006862254361823723,618304286176.5128,487809297664711.0,290.0,1037333333333.3333,33000000000.0,False
138758400000000.02,2.5118715091168475e-08,0.00022153014570467446,3.0814600307468396e-15,0.006862254468722698,619557027501.9469,487775130284368.06,290.0,1038222222222.222,33000000000.0,False
