time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux
31536000000000.0,1.8246359972248423e-07,2.0738778127916827e-05,3.668982694580162e-14,0.012541868086142428,5618531354187.057,178385286832712.5,300.0,2350000000000.0015
31536000000000.0,4.2152044056093665e-05,1.6960676841220539e-06,1.233302677382722e-13,0.021782345021031376,1.7163615018185526e+16,2.946660787713418e-26,310.0,2350000000000.0015
31536000000000.0,0.0069359246635334534,1.546362760451676e-06,4.7148421151146034e-14,0.05625346782467443,6.45663924843198e+17,-4.219663653581826e-53,330.0,2350000000000.0015
31536000000000.0,0.018547172665305846,6.186828578389001e-07,9.958602877678025e-14,0.08331503490931626,2.3490900255756688e+17,1.789371902117345e-52,340.0,2350000000000.0015
31536000000000.0,0.020422458511999742,3.265614497401399e-07,2.3102953528077596e-13,0.11639068614472375,9.173762886094602e+16,-3.28136159944453e-52,350.0,2350000000000.0015
31536000000000.0,3.1851816880406184e-05,2.3921764214617014e-05,3.8035643008628936e-14,0.00027622931349863093,4.961847436743278e+16,1.0839991355216879e-25,250.0,2400000000000.0015
31536000000000.0,2.0813936995432e-05,1.8487372750658886e-05,4.789992602890984e-14,0.0007086787180313717,2.160235579249287e+16,7.419497503593016e-24,260.0,2400000000000.0015
31536000000000.0,2.7778471816094286e-06,1.386580989741921e-05,6.016655886498112e-14,0.0016955897464903296,1463823668358910.8,5.495795848778571e-15,270.0,2400000000000.0015
31536000000000.0,6.89023685650313e-07,1.002978834830274e-05,6.846802750576775e-14,0.0035676957731081687,164401860305344.5,4.983371314722113e-11,280.0,2400000000000.0015
31536000000000.0,1.5414057378696083e-07,3.584131905321222e-05,2.88909062613972e-14,0.006862330991152922,6086053337332.193,183074850519824.06,290.0,2400000000000.0015
31536000000000.0,1.9439275119174447e-07,1.9924788794829636e-05,3.7757145895089165e-14,0.012541868477650424,5757955946376.356,151596339676189.94,300.0,2400000000000.0015
31536000000000.0,4.6936918652569596e-05,1.7570021329479779e-06,1.2088629825611156e-13,0.02178234539319655,1.9829482046402304e+16,6.962396238165686e-27,310.0,2400000000000.0015
31536000000000.0,0.0070077385035688285,1.626338602017008e-06,4.549205964672604e-14,0.05625348212813218,6.525461986196974e+17,-1.2004612387584297e-53,330.0,2400000000000.0015
31536000000000.0,0.019239739568951923,6.683666560666882e-07,9.040406314297414e-14,0.08331523406995688,2.4300834235766e+17,-2.9683909016959986e-52,340.0,2400000000000.0015
31536000000000.0,0.021113235741326838,3.4717816726081006e-07,2.1394702780588917e-13,0.11639095578076418,9.385003822475648e+16,2.7190896261271108e-52,350.0,2400000000000.0015
31536000000000.0,3.353689950642368e-05,2.456528804482468e-05,3.742483306079049e-14,0.00027622931105391636,5.229225640298905e+16,6.196011425318716e-26,250.0,2450000000000.001
31536000000000.0,2.2685741403616848e-05,1.9034979121735425e-05,4.6949140094092875e-14,0.0007086787143032769,2.382034415298789e+16,2.9281110721596227e-24,260.0,2450000000000.001
31536000000000.0,4.94348628792351e-06,1.3702655609241043e-05,6.095561981492895e-14,0.0016955897816652086,2890204285898089.5,2.0782409653178387e-16,270.0,2450000000000.001
31536000000000.0,1.1027036397346152e-06,9.952571912562088e-06,6.918375070275676e-14,0.003567695790908027,387558083992957.44,2.0807236072978536e-12,280.0,2450000000000.001
31536000000000.0,1.629829616954488e-07,3.465299010367716e-05,2.977371158918739e-14,0.006862331303479999,6262093991246.281,163608937053542.56,290.0,2450000000000.001
31536000000000.0,2.0879320505776295e-07,1.8884755045493258e-05,3.9124361105051855e-14,0.012541868946848575,5928600452132.935,120923205181494.58,300.0,2450000000000.001
31536000000000.0,5.135575793852648e-05,1.821008115674939e-06,1.1841178601467066e-13,0.02178234573396781,2.238038353413382e+16,2.064361816857733e-27,310.0,2450000000000.001
31536000000000.0,0.007072408671673855,1.7073043690360656e-06,4.399348361390543e-14,0.05625349500114125,6.58781582395534e+17,-2.8263233734625957e-52,330.0,2450000000000.001
31536000000000.0,0.019925766455608656,7.200286005833568e-07,8.262571280722273e-14,0.0833154313472806,2.510097568139758e+17,3.3095456942246583e-54,340.0,2450000000000.001
31536000000000.0,0.021808578027503692,3.6857786855130027e-07,1.9862717204917167e-13,0.11639122719841416,9.594609150385627e+16,2.77670081869092e-52,350.0,2450000000000.001
31536000000000.0,3.523650941821207e-05,2.521298987978812e-05,3.683109026777423e-14,0.000276229308595427,5.496286775362904e+16,3.619901039941199e-26,250.0,2500000000000.0015
31536000000000.0,2.4534315523852928e-05,1.9585386082681185e-05,4.6041275443771465e-14,0.0007086787104360495,2.6011888001158216e+16,1.2495942425387683e-24,260.0,2500000000000.0015
31536000000000.0,7.838775896270724e-06,1.3720750621818571e-05,6.113886210448451e-14,0.001695589816828486,4975083105209363.0,1.0411347326514727e-17,270.0,2500000000000.0015
31536000000000.0,1.793099050178833e-06,9.903639252598453e-06,6.986508040841557e-14,0.0035676958115330283,777880335790079.5,1.4981872479231106e-13,280.0,2500000000000.0015
31536000000000.0,1.7491796979652194e-07,3.2496137114769695e-05,3.123068921279109e-14,0.006862331812334379,6510711434444.4,135702296120785.97,290.0,2500000000000.0015
31536000000000.0,2.290373641842567e-07,1.716483180608752e-05,4.143880320658114e-14,0.012541869669964907,6148124256823.884,76586125927006.1,300.0,2500000000000.0015
31536000000000.0,5.548948712759059e-05,1.887225814941158e-06,1.1597221607184207e-13,0.021782346050347547,2.4840099509733104e+16,7.254247717411577e-28,310.0,2500000000000.0015
31536000000000.0,0.007129130235432855,1.7887422534172137e-06,4.2646803665356957e-14,0.05625350628312165,6.642748644810464e+17,-1.5945068369882529e-53,330.0,2500000000000.0015
31536000000000.0,0.020607037751965315,7.738482925045919e-07,7.598264594308746e-14,0.08331562725433579,2.589337979071183e+17,2.544535162157301e-52,340.0,2500000000000.0015
31536000000000.0,0.022498221144396084,3.9064089123317844e-07,1.8496056720913955e-13,0.11639149639109603,9.799402742986147e+16,6.570687838635433e-53,350.0,2500000000000.0015
31536000000000.0,3.695143749458582e-05,2.5865530768294642e-05,3.625350869319187e-14,0.0002762293061181048,5.762911856894918e+16,2.1577106305098146e-26,250.0,2550000000000.0015
31536000000000.0,2.6366155661506628e-05,2.013869993131856e-05,4.5172974044821454e-14,0.0007086787064548478,2.8180650347757916e+16,5.690427726985262e-25,260.0,2550000000000.0015
31536000000000.0,1.0387881670310963e-05,1.3946173145780365e-05,6.058591692779499e-14,0.001695589834228289,6933415294467558.0,1.2291685173814455e-18,270.0,2550000000000.0015
31536000000000.0,2.8772342157391064e-06,9.861294960655097e-06,7.056784943136303e-14,0.003567695839959887,1406096841849143.2,1.4307803655578427e-14,280.0,2550000000000.0015
31536000000000.0,1.9251183650144066e-07,2.8889461341020294e-05,3.3755959052871435e-14,0.006862332620499295,6831711576955.348,88554523536942.17,290.0,2550000000000.0015
31536000000000.0,4.276203157237206e-06,3.42131422638657e-06,9.682426391800555e-14,0.012541874983566376,1706738716950636.2,6.316717232571459e-16,300.0,2550000000000.0015
31536000000000.0,5.9366852550135286e-05,1.9556283448069313e-06,1.1357299191527405e-13,0.021782346344703725,2.719995353360803e+16,2.9333698241437073e-28,310.0,2550000000000.0015
31536000000000.0,0.007179615670298665,1.8709407420392567e-06,4.142044313842823e-14,0.05625351631644773,6.692252070623218e+17,-1.8751320724778673e-52,330.0,2550000000000.0015
31536000000000.0,0.021282787122990716,8.296926018341273e-07,7.030049811993701e-14,0.08331582157084336,2.6677539210741786e+17,4.547707245444574e-53,340.0,2550000000000.0015
31536000000000.0,0.023189988482588186,4.134217859645908e-07,1.726343058088359e-13,0.11639176641265683,1.0002239206745043e+17,-1.2385997510344353e-52,350.0,2550000000000.0015
31536000000000.0,3.868351496866812e-05,2.652283615403169e-05,3.569139244106625e-14,0.00027622930362534607,6.029301466127745e+16,1.3094562912384417e-26,250.0,2600000000000.0015
31536000000000.0,1.2421852262313076e-05,1.4281115375902951e-05,5.969124265717807e-14,0.001695589837438312,8533216376692901.0,3.0054822047525687e-19,270.0,2600000000000.0015
31536000000000.0,4.425405250546628e-06,9.845501289273976e-06,7.116409371777699e-14,0.0035676958757365662,2324243528819490.0,1.6745245223480271e-15,280.0,2600000000000.0015
31536000000000.0,8.731634999662413e-07,6.639406933549235e-06,7.650722360218411e-14,0.006862337101673954,160071702206185.78,2.1717957142801718e-11,290.0,2600000000000.0015
31536000000000.0,5.906244868905854e-06,3.498177486552471e-06,9.613148947694078e-14,0.012541875045982216,2520944174653893.5,1.0174989314005421e-16,300.0,2600000000000.0015
31536000000000.0,6.302417565384559e-05,2.0260195567396084e-06,1.1122784609572337e-13,0.021782346620101856,2.94646883578202e+16,1.329206797634156e-28,310.0,2600000000000.0015
31536000000000.0,0.007224746906594173,1.9538457198397114e-06,4.029950714999855e-14,0.056253525277632416,6.736904497139039e+17,2.8052106975458567e-52,330.0,2600000000000.0015
31536000000000.0,0.021962982161436398,8.879879463530358e-07,6.536736239107479e-14,0.08331601716335414,2.746541197424893e+17,-2.4578772303940484e-52,340.0,2600000000000.0015
31536000000000.0,0.02389789145005492,4.3721273379047555e-07,1.6133785169054974e-13,0.11639204273220809,1.0206929349575333e+17,-3.1828059138199983e-52,350.0,2600000000000.0015
31536000000000.0,4.043535768466025e-05,2.7184375822504637e-05,3.514413162521888e-14,0.0002762293011259874,6.295869738082531e+16,8.073134588227447e-27,250.0,2650000000000.0015
31536000000000.0,2.999557122510048e-05,2.125509359850198e-05,4.3542675348117377e-14,0.000708678698193469,3.2453482006075716e+16,1.3828134622600496e-25,260.0,2650000000000.0015
