O2,CH4,O3,H2O,OH,H2,CO,T_time,alt,rh,time,O2_flux,ri_flux,change_during_glaciations
1.5681117937178402e-14,0.0001398938792218011,1.2912424507664478e-19,0.0013975322870062978,2.943424468766643e-15,0.00016382304258230664,2.8706116278493187e-06,260.9541157609949,525000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
1.8548994412200228e-14,0.00013988916099183076,2.123836457435092e-19,0.0010284873681408824,3.1595017089185118e-15,0.00016383488404396563,2.878053241612174e-06,256.9019574581341,575000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
2.4259360864752957e-14,0.00013988428158672389,3.972626986864252e-19,0.0007231886267847847,3.280177601010872e-15,0.00016384676949632098,2.886335212733471e-06,252.48823195198878,625000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
3.601333217253234e-14,0.00013987923357871825,8.586693775018611e-19,0.00048061247124462367,3.265147803874467e-15,0.0001638587260181988,2.8954274041500385e-06,247.64591157873772,675000.0,0.35000000000000003,1261440000000000.0,1354666666666.6665,33000000000.0,False
6.290270231197468e-14,0.0001398740101009022,2.2155862719050994e-18,0.0002988681415760103,3.1045300936372447e-15,0.0001638708028905426,2.9052624459731786e-06,242.3346652131261,725000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
1.3452546710426065e-13,0.0001398686054938271,7.172188384334333e-18,0.00017114188308793262,2.8331033637459482e-15,0.00016388306682313966,2.9157399931194384e-06,236.47777949090056,775000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
3.5450564009850815e-13,0.00013986301565619363,2.977977845959692e-17,8.890746762383928e-05,2.546171864394402e-15,0.00016389559335762798,2.926740625324097e-06,230.0380789350521,825000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
1.0486936779495012e-12,0.000139857237605708,1.4581309138378966e-16,4.128339710223064e-05,2.354671870453541e-15,0.00016390845731342448,2.9381497459136947e-06,223.00863844813122,875000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
2.7851606421044393e-12,0.0001398512694858581,6.534384589397127e-16,1.669090710632689e-05,2.313829544035898e-15,0.0001639217226681338,2.9498770525803583e-06,215.32541808542427,925000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
4.199242726202975e-12,0.00013984486152149078,1.1174360391980728e-15,1.7265857095319e-05,2.9602431731835894e-15,0.00016393597966302194,2.962333270866924e-06,215.0,975000.0,0.35,1261440000000000.0,1354666666666.6665,33000000000.0,False
5.673228011933541e-12,0.00013983763007375727,1.6803034053122794e-15,1.2199945651086406e-05,3.460174947584383e-15,0.00016395209996428325,2.9762764019186534e-06,215.0,1025000.0,0.22897570974087547,1261440000000000.0,1354666666666.6665,33000000000.0,False
7.260338348164132e-12,0.00013982840581226567,2.328534864635665e-15,9.37150741728756e-06,4.109273289301856e-15,0.00016397273962601364,2.993893211865244e-06,215.0,1075000.0,0.16285376180320207,1261440000000000.0,1354666666666.6665,33000000000.0,False
