time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux,ri_flux,change_during_glaciations
151372800000000.03,1.4072071746583258e-07,2.003042279696009e-05,3.988360028859497e-14,0.006862334142948041,6271592344819.544,47432455839165.87,290.0,2000000000000.0,21999999999.999992,True
154526400000000.0,1.4072118820689042e-07,2.0030291943825092e-05,3.9883786537890674e-14,0.006862334142984032,6271565907591.352,47431003133653.84,290.0,2000000000000.0,21999999999.999992,True
157680000000000.0,1.4072157583553016e-07,2.0030202780870942e-05,3.9883897858775857e-14,0.00686233414300896,6271548822216.777,47429816818458.01,290.0,2000000000000.0,21999999999.999992,True
160833600000000.03,1.407212171103616e-07,2.0030289652332162e-05,3.988378278994837e-14,0.0068623341429842125,6271568656489.543,47430912405050.13,290.0,2000000000000.0,21999999999.999992,True
163987200000000.0,1.4072122882180906e-07,2.0030283459757544e-05,3.988378970788888e-14,0.006862334142984716,6271573108728.965,47430867066231.71,290.0,2000000000000.0,21999999999.999992,True
167140800000000.03,1.4072125524462778e-07,2.0030280088166483e-05,3.988379661146641e-14,0.006862334142987146,6271565330635.838,47430797015447.36,290.0,2000000000000.0,21999999999.999992,True
170294400000000.0,1.4072119933914594e-07,2.003029431620726e-05,3.9883776493592273e-14,0.006862334142982954,6271569432399.133,47430967629334.29,290.0,2000000000000.0,21999999999.999992,True
173448000000000.0,1.4072078391564017e-07,2.0030402510612663e-05,3.9883627937529164e-14,0.006862334142952868,6271591831022.186,47432246467798.125,290.0,2000000000000.0,21999999999.999992,True
176601600000000.03,1.407211941274962e-07,2.0030294324881866e-05,3.9883778112972673e-14,0.006862334142983028,6271568804762.687,47430982254611.89,290.0,2000000000000.0,21999999999.999992,True
179755200000000.0,1.4072105170342283e-07,2.0030328267602604e-05,3.9883732351762664e-14,0.006862334142973005,6271578304957.983,47431418358341.46,290.0,2000000000000.0,21999999999.999992,True
182908800000000.03,1.4072116670855068e-07,2.003029693474634e-05,3.98837747954416e-14,0.0068623341429812105,6271574192899.345,47431061901008.96,290.0,2000000000000.0,21999999999.999992,True
186062400000000.0,1.407212158961368e-07,2.003028991445446e-05,3.988378303557247e-14,0.0068623341429842845,6271567958979.602,47430917294103.266,290.0,2000000000000.0,21999999999.999992,True
189216000000000.0,1.407214581277207e-07,2.003022576134722e-05,3.9883871535149764e-14,0.006862334143001961,6271555372806.952,47430169283760.11,290.0,2000000000000.0,21999999999.999992,True
192369600000000.03,1.4072100302127844e-07,2.00303401708006e-05,3.9883713398213334e-14,0.006862334142968817,6271585157103.697,47431564472844.53,290.0,2000000000000.0,21999999999.999992,True
195523200000000.0,1.4072159037645503e-07,2.0030190394511842e-05,3.988391994968634e-14,0.006862334143011527,6271549316551.487,47429763840477.484,290.0,2000000000000.0,21999999999.999992,True
198676800000000.03,1.4072101873162023e-07,2.0030336843143134e-05,3.9883716905489077e-14,0.0068623341429696625,6271585016109.345,47431515278417.18,290.0,2000000000000.0,21999999999.999992,True
201830400000000.0,1.4072200081539545e-07,2.0030087624750425e-05,3.9884061305224374e-14,0.006862334143041217,6271523096224.798,47428502072985.35,290.0,2000000000000.0,21999999999.999992,True
204984000000000.0,1.4072121691135943e-07,2.003029066049433e-05,3.988377994609837e-14,0.006862334142983795,6271569726269.232,47430913183991.72,290.0,2000000000000.0,21999999999.999992,True
