time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux,type
31536000000000.0,5.5942595739873036e-08,7.904658910306048e-05,1.2591779786768717e-14,0.006862318027068676,2787344956463.5493,422880762996730.8,290.0,1600000000000.0005,steady state
31536000000000.0,6.662023274363372e-08,3.5865762700376966e-05,2.1982414219746418e-14,0.01254185951023879,3364198590265.63,444047627987259.5,300.0,1600000000000.0005,steady state
31536000000000.0,8.507706633413027e-08,1.6230895477835362e-05,3.621816867073528e-14,0.021782330243633404,3047275990443.6504,276075281183629.03,310.0,1600000000000.0005,steady state
31536000000000.0,1.1616477480243712e-07,7.162654632523178e-06,5.659983036258351e-14,0.035941923878538055,3385564641343.882,23850009548036.695,320.0,1600000000000.0005,steady state
31536000000000.0,0.004118358116747481,4.4305211115938716e-07,1.7156370570623376e-13,0.056252904942396174,3.752510897847464e+17,2.5255895205931754e-52,330.0,1600000000000.0005,steady state
31536000000000.0,0.007445898288104509,1.3141668459203814e-07,9.982810621727978e-13,0.08331184222930976,9.811465516411597e+16,2.9916908420957624e-52,340.0,1600000000000.0005,steady state
31536000000000.0,0.009879876143931609,1.0308606302160058e-07,1.112435594464175e-12,0.11638657095564718,5.462339591221132e+16,2.0204466853087618e-52,350.0,1600000000000.0005,steady state
31536000000000.0,6.531463520805441e-08,0.00012841611771353687,1.3225023630699084e-14,0.00027622791403535796,9786658040888.014,1292637766771.465,250.0,1650000000000.0005,steady state
31536000000000.0,6.182018206337095e-08,0.00012773743880297776,1.168565912497362e-14,0.0007086753120165634,6325076234417.076,13004650387877.0,260.0,1650000000000.0005,steady state
31536000000000.0,6.109654135601307e-08,9.866976830025176e-05,1.3320776895454695e-14,0.0016955841439859566,4681496601401.449,74745694238177.47,270.0,1650000000000.0005,steady state
31536000000000.0,6.781199803271056e-08,4.971223887520123e-05,2.1889217929058815e-14,0.0035676907125719135,4788863637086.495,134295964643121.38,280.0,1650000000000.0005,steady state
31536000000000.0,5.998420069168079e-08,7.31289734542571e-05,1.3764654476232466e-14,0.0068623199466274765,3032639845364.367,411560139457175.56,290.0,1650000000000.0005,steady state
31536000000000.0,7.126581299021328e-08,3.513048400783054e-05,2.2703040612327326e-14,0.012541860084931699,3501685383541.8965,436176036894514.1,300.0,1650000000000.0005,steady state
31536000000000.0,9.177277250422632e-08,1.5842955188286636e-05,3.7154577620006144e-14,0.021782330712105388,3180478687364.764,256908693166060.5,310.0,1650000000000.0005,steady state
31536000000000.0,1.4629769192531896e-07,5.514677078965537e-06,6.494451098967005e-14,0.03594192591618049,3927237956541.752,1839219264909.4856,320.0,1650000000000.0005,steady state
31536000000000.0,0.004472498202474642,5.093995289089051e-07,1.4342906425692424e-13,0.05625297575037449,4.1086188614683014e+17,-2.728374196782581e-52,330.0,1650000000000.0005,steady state
31536000000000.0,0.008224822436907968,1.4867816631664272e-07,8.214076235830487e-13,0.0833120662586467,1.0836624483451846e+17,-1.836468552716017e-52,340.0,1650000000000.0005,steady state
31536000000000.0,0.010595170507919282,1.1361428370921846e-07,9.626782244153773e-13,0.116386850163865,5.742872997544762e+16,-3.2820787905896108e-52,350.0,1650000000000.0005,steady state
31536000000000.0,6.981710448598063e-08,0.00011950774338766454,1.447109936792018e-14,0.0002762280574764203,10263820245832.414,685173610503.5411,250.0,1700000000000.0007,steady state
31536000000000.0,6.722121061030385e-08,0.00011200338348846426,1.3472806555478613e-14,0.0007086758734349158,6914182251088.297,6413023222593.909,260.0,1700000000000.0007,steady state
31536000000000.0,6.57495968215787e-08,9.156232848876867e-05,1.4541185011001926e-14,0.0016955847192057772,5052594170194.48,57018570854403.016,270.0,1700000000000.0007,steady state
31536000000000.0,7.416194499245935e-08,4.563859005479096e-05,2.3758103112053045e-14,0.0035676913156212466,5139730517718.423,108471825091860.05,280.0,1700000000000.0007,steady state
31536000000000.0,6.397014598404673e-08,6.929832480873901e-05,1.4710215843276234e-14,0.006862321228973395,3235039196109.844,401614475409139.2,290.0,1700000000000.0007,steady state
31536000000000.0,7.641767702646337e-08,3.413237507260131e-05,2.3541679078416337e-14,0.012541860757913,3654617821714.5024,426461312512453.44,300.0,1700000000000.0007,steady state
31536000000000.0,9.91685686011697e-08,1.5411723925542364e-05,3.8152215461591406e-14,0.021782331197633488,3326093087686.034,236890928415860.9,310.0,1700000000000.0007,steady state
31536000000000.0,0.00021257249227274845,5.989135965766643e-07,2.1437499027094335e-13,0.035941958864917835,4.788286010486295e+16,1.1798814556485435e-39,320.0,1700000000000.0007,steady state
31536000000000.0,0.00479057918780678,5.773432350653313e-07,1.2287686564352158e-13,0.05625303934181427,4.422654386361666e+17,1.755081177059243e-52,330.0,1700000000000.0007,steady state
